X,Filing Date,Trade Date,Ticker,Company Name,Industry,Ins,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
M,2024-04-30 21:32:38,2024-04-26,HTLD,Heartland Express Inc,Trucking (No Local),2,P - Purchase,10.13,"+465,788","62,225,096",+1%,"+$4,716,784",,,,
,2024-04-30 17:11:04,2024-04-29,GSHD,"Goosehead Insurance, Inc.","Insurance Agents, Brokers & Service",3,P - Purchase,64.8,"+17,332","32,332",+116%,"+$1,123,099",,,,
M,2024-05-01 15:32:10,2024-04-29,EGBN,Eagle Bancorp Inc,State Commercial Banks,2,P - Purchase,18.73,"+6,832","351,210",+2%,"+$127,993",,,,
,2024-05-01 15:56:38,2024-04-30,PWOD,Penns Woods Bancorp Inc,State Commercial Banks,5,P - Purchase,17.38,"+14,069","161,636",+10%,"+$244,518",,,,
M,2024-04-30 16:36:15,2024-04-30,ORN,Orion Group Holdings Inc,Heavy Construction Non-Bldg Contractors,4,P - Purchase,7.02,"+31,008","824,970",+4%,"+$217,690",,,,
M,2024-05-07 16:00:37,2024-05-01,TBBK,"Bancorp, Inc.",National Commercial Banks,6,P - Purchase,32.15,"+37,301","969,876",+4%,"+$1,199,141",,,,
,2024-05-01 15:49:02,2024-05-01,CLF,Cleveland-Cliffs Inc.,Metal Mining,3,P - Purchase,16.9,"+87,000","5,913,876",+1%,"+$1,470,591",,,,
,2024-05-06 07:50:56,2024-05-02,LTRX,Lantronix Inc,Computer Communications Equipment,3,P - Purchase,3.62,"+51,000","115,119",+80%,"+$184,666",,,,
D,2024-05-06 09:16:24,2024-05-03,AIN,Albany International Corp /de/,"Broadwoven Fabric Mills, Man Made Fiber & Silk",2,P - Purchase,84.58,"+2,250","9,494",+31%,"+$190,294",,,,
,2024-05-06 16:17:30,2024-05-03,HI,"Hillenbrand, Inc.",Miscellaneous Manufacturing Industries,3,P - Purchase,42.55,"+5,650","186,634",+3%,"+$240,406",,,,
,2024-05-07 16:52:08,2024-05-03,DTM,"Dt Midstream, Inc.",Natural Gas Transmission,3,P - Purchase,58.38,"+1,900","82,074",+2%,"+$110,923",,,,
D,2024-05-06 16:00:13,2024-05-03,HXL,Hexcel Corp /de/,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",6,P - Purchase,64.91,"+49,400","454,679",+12%,"+$3,206,515",,,,
,2024-05-07 16:32:54,2024-05-06,MBUU,"Malibu Boats, Inc.",Ship & Boat Building & Repairing,2,P - Purchase,37.04,"+32,500","146,513",+29%,"+$1,203,850",,,,
M,2024-05-07 17:08:59,2024-05-06,HRTG,"Heritage Insurance Holdings, Inc.","Fire, Marine & Casualty Insurance",3,P - Purchase,8.27,"+85,000","1,738,553",+5%,"+$702,850",,,,
M,2024-05-08 16:44:17,2024-05-06,PENN,"Penn Entertainment, Inc.",Hotels & Motels,2,P - Purchase,15.57,"+56,157","332,046",+20%,"+$874,233",,,,
M,2024-05-08 18:10:15,2024-05-06,TRS,Trimas Corp,Metal Forgings & Stampings,2,P - Purchase,25.44,"+32,100","337,325",+11%,"+$816,647",,,,
M,2024-05-07 16:16:29,2024-05-07,DBD,"Diebold Nixdorf, Inc",Calculating & Accounting Machines (No Electronic Computers),3,P - Purchase,36.89,"+7,990","199,563",+4%,"+$294,712",,,,
,2024-05-08 10:55:00,2024-05-07,SHEN,Shenandoah Telecommunications Co/va/,Telephone Communications (No Radiotelephone),4,P - Purchase,14.77,"+29,694","2,007,287",+2%,"+$438,698",,,,
,2024-05-08 19:02:31,2024-05-07,UUUU,Energy Fuels Inc,Mining & Quarrying of Nonmetallic Minerals,4,P - Purchase,5.85,"+53,588","2,074,082",+3%,"+$313,558",,,,
,2024-05-10 20:05:07,2024-05-08,BYON,"Beyond, Inc.",Catalog & Mail-Order Houses,2,P - Purchase,18.55,"+16,050","305,457",+6%,"+$297,695",,,,
,2024-05-10 17:52:10,2024-05-08,LSEA,Landsea Homes Corp,Operative Builders,4,P - Purchase,11.27,"+55,689","1,064,359",+6%,"+$627,794",,,,
M,2024-05-10 16:43:32,2024-05-08,HLF,Herbalife Ltd.,"Drugs, Proprietaries & Druggists' Sundries",4,P - Purchase,9.65,"+93,285","382,767",+32%,"+$900,476",,,,
,2024-05-10 10:34:51,2024-05-08,CTOS,"Custom Truck One Source, Inc.",Equipment Rental & Leasing,4,P - Purchase,4.03,"+82,000","1,170,991",+8%,"+$330,659",,,,
,2024-05-09 16:10:41,2024-05-08,NBBK,"Nb Bancorp, Inc.","Savings Institutions, Not Federally Chartered",7,P - Purchase,14.1,"+85,035","313,528",+37%,"+$1,199,111",,,,
,2024-05-09 15:02:05,2024-05-08,XIVYX,Institutional Investment Strategy Fund,Closed-End Funds,3,P - Purchase,10.08,"+242,729","313,115",+345%,"+$2,446,662",,,,
,2024-05-09 16:32:19,2024-05-09,UHT,Universal Health Realty Income Trust,Real Estate Investment Trusts,2,P - Purchase,35.33,"+8,000","211,397",+4%,"+$282,641",,,,
M,2024-05-10 16:48:27,2024-05-09,XFLT,Xai Octagon Floating Rate & Alternative Income Trust,Closed-End Funds,2,P - Purchase,7.13,"+13,734","1,098,428",+1%,"+$97,924",,,,
,2024-05-10 17:45:58,2024-05-09,WDFC,Wd 40 Co,Miscellaneous Chemical Products,3,P - Purchase,233.21,+973,"28,157",+4%,"+$226,910",,,,
,2024-05-14 08:01:46,2024-05-10,EYE,"National Vision Holdings, Inc.",Ophthalmic Goods,2,P - Purchase,14.64,"+54,000","1,222,274",+5%,"+$790,398",,,,
,2024-05-14 16:01:37,2024-05-10,PSEC,Prospect Capital Corp,Closed-End Funds,2,P - Purchase,5.48,"+803,901","66,180,074",+1%,"+$4,404,677",,,,
,2024-05-10 13:40:18,2024-05-10,MAC,Macerich Co,Real Estate Investment Trusts,5,P - Purchase,14.44,"+163,365","363,854",+81%,"+$2,359,150",,,,
E,2024-05-15 17:47:22,2024-05-13,HHS,Harte Hanks Inc,Direct Mail Advertising Services,3,P - Purchase,7.17,"+36,175","267,739",+16%,"+$259,416",,,,
,2024-05-15 08:36:56,2024-05-13,HAIN,Hain Celestial Group Inc,Food & Kindred Products,3,P - Purchase,7.3,"+28,500","86,809",+49%,"+$207,912",,,,
,2024-05-15 07:31:29,2024-05-13,BHVN,Biohaven Ltd.,Pharmaceutical Preparations,3,P - Purchase,40.63,"+406,355","11,136,900",+4%,"+$16,511,978",,,,
,2024-05-14 17:09:42,2024-05-13,BGS,"B&g Foods, Inc.",Food & Kindred Products,3,P - Purchase,8.58,"+141,955","550,608",+35%,"+$1,218,296",,,,
,2024-05-14 15:37:54,2024-05-13,CNMD,Conmed Corp,Electromedical & Electrotherapeutic Apparatus,4,P - Purchase,69.82,"+7,792","45,882",+20%,"+$544,055",,,,
,2024-05-14 16:10:44,2024-05-14,DCGO,Docgo Inc.,Health Services,5,P - Purchase,3.38,"+78,500","2,442,326",+3%,"+$265,390",,,,
M,2024-05-15 15:59:11,2024-05-14,GRNT,"Granite Ridge Resources, Inc.",Crude Petroleum & Natural Gas,3,P - Purchase,6.24,"+24,900","787,413",+3%,"+$155,413",,,,
,2024-05-15 16:02:24,2024-05-14,AAOI,"Applied Optoelectronics, Inc.",Semiconductors & Related Devices,3,P - Purchase,12.76,"+70,950","1,655,348",+4%,"+$905,644",,,,
D,2024-05-15 16:13:06,2024-05-14,LENZ,"Lenz Therapeutics, Inc.","Biological Products, (No Diagnostic Substances)",3,P - Purchase,15.06,"+1,032,529","4,637,881",+29%,"+$15,551,156",,,,
M,2024-05-20 19:58:42,2024-05-14,VSTS,Vestis Corp,Miscellaneous Nondurable Goods,7,P - Purchase,10.07,"+3,759,369","32,933,127",+13%,"+$37,854,675",,,,
,2024-05-15 07:19:34,2024-05-14,BCRX,Biocryst Pharmaceuticals Inc,"Biological Products, (No Diagnostic Substances)",6,P - Purchase,5.59,"+153,240","2,366,499",+7%,"+$856,692",,,,
DM,2024-05-16 16:02:04,2024-05-15,WES,"Western Midstream Partners, LP",Natural Gas Transmission,6,P - Purchase,34.05,"+26,154","821,310",+3%,"+$890,635",,,,
,2024-05-16 16:40:34,2024-05-15,OUST,"Ouster, Inc.",General Industrial Machinery & Equipment,3,P - Purchase,12.29,"+34,000","1,395,024",+2%,"+$418,017",,,,
,2024-05-17 10:59:20,2024-05-15,FSK,Fs Kkr Capital Corp,Closed-End Funds,2,P - Purchase,19.08,"+13,381","82,414",+19%,"+$255,338",,,,
M,2024-05-20 20:22:28,2024-05-16,ALTI,"Alti Global, Inc.",Investment Advice,3,P - Purchase,4.69,"+209,210","654,690",+47%,"+$980,652",,,,
,2024-05-17 19:00:28,2024-05-16,AVD,American Vanguard Corp,Agricultural Chemicals,3,P - Purchase,8.86,"+66,700","1,241,691",+6%,"+$591,142",,,,
,2024-05-17 16:05:46,2024-05-16,ASTE,Astec Industries Inc,Construction Machinery & Equip,2,P - Purchase,33.62,"+3,000","89,764",+3%,"+$100,860",,,,
,2024-05-20 08:30:14,2024-05-16,ABEO,Abeona Therapeutics Inc.,Pharmaceutical Preparations,3,P - Purchase,3.77,"+29,600","809,835",+4%,"+$111,663",,,,
M,2024-05-20 12:15:49,2024-05-17,ACTG,Acacia Research Corp,Patent Owners & Lessors,2,P - Purchase,5.3,"+23,962","424,788",+6%,"+$127,103",,,,
M,2024-05-20 16:04:02,2024-05-17,BXSY,Bexil Investment Trust,Closed-End Funds,2,P - Purchase,12.8,"+36,344","64,059",+131%,"+$465,114",,,,
M,2024-05-20 16:30:11,2024-05-17,TMCI,"Treace Medical Concepts, Inc.",Surgical & Medical Instruments & Apparatus,6,P - Purchase,4.73,"+1,072,356","14,824,125",+8%,"+$5,076,477",,,,
,2024-05-17 16:25:50,2024-05-17,TLS,Telos Corp,Computer Integrated Systems Design,2,P - Purchase,3.26,"+178,884","6,968,540",+3%,"+$583,951",,,,
,2024-05-20 20:02:59,2024-05-20,INVE,"Identiv, Inc.",Computer Peripheral Equipment,2,P - Purchase,4.14,"+35,000","457,437",+8%,"+$145,000",,,,
,2024-05-21 13:47:23,2024-05-20,CMI,Cummins Inc,Engines & Turbines,2,P - Purchase,281.29,"+2,307","2,813",+456%,"+$648,943",,,,
,2024-05-21 15:03:21,2024-05-20,GL,Globe Life Inc.,Life Insurance,7,P - Purchase,81.1,"+11,819","251,780",+5%,"+$958,489",,,,
